1 	 396 	 287 	 206 
32 	 8236 	 1508 	 841 
32 	 2351 	 667 	 467 
16 	 2351 	 978 	 814 
16 	 1289 	 388 	 416 
8 	 1289 	 738 	 703 
8 	 786 	 348 	 393 
4 	 786 	 576 	 504 
4 	 597 	 336 	 319 
2 	 597 	 408 	 333 
2 	 437 	 299 	 250 
1 	 437 	 352 	 236 
1 	 375 	 292 	 192 
1 	 463 	 358 	 245 
1 	 374 	 279 	 201 
2 	 525 	 403 	 323 
2 	 388 	 273 	 230 
1 	 388 	 332 	 187 
1 	 345 	 287 	 177 
1 	 427 	 329 	 217 
1 	 342 	 266 	 171 
4 	 874 	 552 	 565 
4 	 567 	 303 	 304 
2 	 567 	 408 	 349 
2 	 401 	 271 	 223 
1 	 401 	 327 	 205 
1 	 341 	 264 	 162 
1 	 447 	 324 	 217 
1 	 343 	 267 	 166 
2 	 583 	 397 	 318 
2 	 412 	 259 	 230 
1 	 412 	 327 	 202 
1 	 340 	 259 	 170 
1 	 439 	 335 	 212 
1 	 341 	 258 	 164 
8 	 1388 	 765 	 660 
8 	 810 	 355 	 324 
4 	 810 	 523 	 506 
4 	 541 	 296 	 267 
2 	 541 	 384 	 310 
2 	 399 	 269 	 226 
1 	 399 	 327 	 192 
1 	 338 	 264 	 169 
1 	 416 	 314 	 192 
1 	 331 	 253 	 153 
2 	 548 	 391 	 294 
2 	 409 	 265 	 208 
1 	 409 	 333 	 182 
1 	 343 	 265 	 177 
1 	 410 	 319 	 181 
1 	 332 	 270 	 133 
4 	 866 	 527 	 513 
4 	 548 	 297 	 270 
2 	 548 	 395 	 322 
2 	 405 	 267 	 196 
1 	 405 	 324 	 202 
1 	 339 	 259 	 150 
1 	 410 	 323 	 188 
1 	 340 	 261 	 139 
2 	 597 	 442 	 383 
2 	 459 	 275 	 211 
1 	 459 	 359 	 241 
1 	 377 	 260 	 201 
1 	 413 	 324 	 192 
1 	 337 	 262 	 148 
16 	 6525 	 1072 	 747 
16 	 1478 	 560 	 377 
8 	 1478 	 767 	 589 
8 	 772 	 398 	 313 
4 	 772 	 519 	 456 
4 	 541 	 303 	 230 
2 	 541 	 399 	 291 
2 	 417 	 277 	 182 
1 	 417 	 352 	 185 
1 	 362 	 275 	 166 
1 	 397 	 334 	 173 
1 	 343 	 272 	 145 
2 	 520 	 391 	 254 
2 	 411 	 279 	 186 
1 	 411 	 338 	 199 
1 	 357 	 270 	 146 
1 	 393 	 320 	 145 
1 	 332 	 263 	 128 
4 	 1037 	 595 	 473 
4 	 602 	 307 	 264 
2 	 602 	 437 	 314 
2 	 455 	 280 	 177 
1 	 455 	 367 	 217 
1 	 386 	 264 	 148 
1 	 429 	 342 	 190 
1 	 347 	 265 	 131 
2 	 734 	 483 	 368 
2 	 485 	 268 	 203 
1 	 485 	 370 	 234 
1 	 389 	 278 	 132 
1 	 522 	 376 	 244 
1 	 389 	 270 	 180 
8 	 5435 	 1739 	 1119 
8 	 3097 	 1410 	 606 
4 	 3097 	 798 	 718 
4 	 1087 	 497 	 354 
2 	 1087 	 544 	 449 
2 	 618 	 321 	 254 
1 	 618 	 425 	 310 
1 	 460 	 285 	 199 
1 	 757 	 415 	 319 
1 	 478 	 282 	 214 
2 	 2347 	 737 	 664 
2 	 1018 	 535 	 339 
1 	 1018 	 563 	 513 
1 	 680 	 417 	 300 
1 	 1690 	 964 	 646 
1 	 1064 	 564 	 358 
4 	 2827 	 724 	 938 
4 	 1643 	 558 	 457 
2 	 1643 	 788 	 736 
2 	 1072 	 642 	 404 
1 	 1072 	 717 	 567 
1 	 792 	 522 	 329 
1 	 997 	 582 	 477 
1 	 692 	 445 	 316 
2 	 1659 	 693 	 608 
2 	 1068 	 546 	 313 
1 	 1068 	 585 	 495 
1 	 771 	 479 	 312 
1 	 1019 	 602 	 454 
1 	 716 	 475 	 288 
64 	 13078 	 2295 	 1689 
64 	 10515 	 2423 	 1615 
32 	 10515 	 2519 	 1615 
32 	 8731 	 2332 	 1366 
16 	 8731 	 2497 	 1525 
16 	 4848 	 1229 	 1009 
8 	 4848 	 1811 	 1034 
8 	 2319 	 768 	 680 
4 	 2319 	 1285 	 903 
4 	 1489 	 621 	 436 
2 	 1489 	 886 	 697 
2 	 1017 	 504 	 405 
1 	 1017 	 642 	 493 
1 	 724 	 420 	 323 
1 	 899 	 616 	 497 
1 	 685 	 427 	 304 
2 	 1317 	 840 	 728 
2 	 907 	 452 	 372 
1 	 907 	 603 	 419 
1 	 647 	 413 	 298 
1 	 884 	 621 	 415 
1 	 670 	 436 	 280 
4 	 3156 	 1687 	 1078 
4 	 1532 	 607 	 544 
2 	 1532 	 935 	 766 
2 	 1028 	 583 	 423 
1 	 1028 	 693 	 478 
1 	 744 	 484 	 296 
1 	 1021 	 723 	 514 
1 	 755 	 499 	 359 
2 	 2166 	 1414 	 912 
2 	 1200 	 579 	 455 
